height,NOMA_total_power,OMA_total_power,NOMA_power_efficiency,OMA_power_efficiency
1,-51.91129749053566,-53.58393595891041,193.5249775128854,195.19761598126018
11,-48.55324141005286,-45.369047015365695,190.1669214324026,186.98272703771545
21,-38.754322320345516,-38.05359153542087,180.36800234269526,179.66727155777062
31,-37.98925922443373,-35.300427994733084,179.60293924678348,176.91410801708284
41,-28.37159217315609,-27.265904760690827,169.98527219550584,168.87958478304057
51,-5.959489447381287,-9.742888880625376,147.57316946973103,151.35656890297514
61,-13.62048230120529,-15.101607676106983,155.23416232355504,156.71528769845673
71,-22.833684801852932,-21.128394366002592,164.44736482420268,162.74207438835234
81,-18.520673744501416,-14.891198037843083,160.13435376685118,156.50487806019282
91,-13.024077047359096,-11.84448230916582,154.63775706970887,153.45816233151558
101,-11.796631578563272,-8.036683478085235,153.41031160091302,149.650363500435
111,-11.202855611995403,-7.75828763410832,152.81653563434514,149.37196765645805
121,-6.400554659861072,-2.809642327948784,148.01423468221083,144.42332235029855
